t_norm,offset_px
2.500000000000000052e-03,-2.543756484985351562e+01
7.499999999999999722e-03,-3.323939132690429688e+01
1.250000000000000069e-02,-3.989184951782226562e+01
1.750000000000000167e-02,-4.548898696899414062e+01
2.249999999999999917e-02,-5.012485504150390625e+01
2.750000000000000014e-02,-5.389350891113281250e+01
3.250000000000000111e-02,-5.688899230957031250e+01
3.750000000000000555e-02,-5.920536422729492188e+01
4.249999999999999611e-02,-6.093666458129882812e+01
4.750000000000000056e-02,-6.217695236206054688e+01
5.250000000000000500e-02,-6.302027511596679688e+01
5.749999999999999556e-02,-6.356068420410156250e+01
6.250000000000000000e-02,-6.389222717285156250e+01
6.750000000000000444e-02,-6.410896301269531250e+01
7.250000000000000888e-02,-6.430493164062500000e+01
7.749999999999999944e-02,-6.457418823242187500e+01
8.250000000000000389e-02,-6.347695922851562500e+01
8.749999999999999445e-02,-6.425428771972656250e+01
9.249999999999999889e-02,-8.245375061035156250e+01
9.750000000000000333e-02,-9.532386016845703125e+01
1.025000000000000078e-01,-1.028532867431640625e+02
1.074999999999999983e-01,-9.896264648437500000e+01
1.125000000000000028e-01,-1.043581390380859375e+02
1.174999999999999933e-01,-1.034963226318359375e+02
1.224999999999999978e-01,-1.005177078247070312e+02
1.275000000000000022e-01,-9.534327697753906250e+01
1.325000000000000067e-01,-8.607823181152343750e+01
1.375000000000000111e-01,-7.482168579101562500e+01
1.425000000000000155e-01,-6.223163604736328125e+01
1.474999999999999922e-01,-4.690602111816406250e+01
1.524999999999999967e-01,-3.104683303833007812e+01
1.575000000000000011e-01,-1.550026702880859375e+01
1.625000000000000056e-01,1.712214279174804688e+01
1.675000000000000100e-01,5.488182449340820312e+01
1.725000000000000144e-01,9.764559936523437500e+01
1.774999999999999911e-01,1.273106307983398438e+02
1.824999999999999956e-01,1.563437042236328125e+02
1.875000000000000000e-01,1.851561126708984375e+02
1.925000000000000044e-01,2.126437835693359375e+02
1.975000000000000089e-01,2.381811981201171875e+02
2.025000000000000133e-01,2.610720214843750000e+02
2.075000000000000178e-01,2.802178955078125000e+02
2.124999999999999944e-01,2.959043273925781250e+02
2.174999999999999989e-01,3.074609985351562500e+02
2.225000000000000033e-01,3.365981140136718750e+02
2.275000000000000078e-01,3.450466613769531250e+02
2.325000000000000122e-01,3.480964050292968750e+02
2.374999999999999889e-01,3.456940002441406250e+02
2.424999999999999933e-01,3.370462646484375000e+02
2.474999999999999978e-01,3.458175048828125000e+02
2.525000000000000022e-01,3.548803710937500000e+02
2.575000000000000067e-01,3.641562194824218750e+02
2.625000000000000111e-01,3.601743164062500000e+02
2.675000000000000155e-01,3.659846191406250000e+02
2.725000000000000200e-01,3.857733154296875000e+02
2.775000000000000244e-01,3.870082397460937500e+02
2.825000000000000289e-01,4.026857604980468750e+02
2.874999999999999778e-01,3.998042602539062500e+02
2.924999999999999822e-01,4.115379943847656250e+02
2.974999999999999867e-01,4.189727478027343750e+02
